GeoType,GEOID,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
State,12,Florida,16719171,72.679,14.508,55.72,31.663,57.048,23.748,63.55,7.561,64.787,35.246,70.816,19.866,70.182,19.824,67.799,21.264,64.24,26.594,48.108,43.64,59.617,40.383,46.832,53.137,76.911,21.159,72.526,25.643,66.18,33.463,64.853,33.475,64.003,34.345,76.603,21.365,30.908,67.737,44.421,54.244,78.152,21.601,69.794,11.044,53.212,27.443,62.616,21.729,60.007,15.094,62.084,16.104,64.417,12.866,33.846,66.124,32.365,66.896,56.136,23.711
State,13,Georgia,7898606,71.263,13.653,53.859,32.606,53.066,22.824,63.108,7.298,63.901,36.15,66.35,19.467,65.907,20.05,62.212,21.054,61.149,26.103,47.982,42.1,59.393,40.607,47.081,52.932,76.814,21.574,71.04,26.787,63.459,36.129,65.14,33.412,63.137,36.603,76.676,21.962,34.459,64.625,52.184,46.606,77.666,22.291,68.534,12.07,51.979,26.593,60.18,21.728,58.647,16.909,59.714,15.803,64.309,13.607,32.178,67.875,30.448,68.758,55.707,25.497
State,15,Hawaii,1117455,71.827,14.459,56.54,30.367,57.303,23.389,64.469,7.183,65.228,34.314,71.335,19.21,70.64,19.184,67.893,20.765,64.452,26.617,46.77,44.56,59.197,40.359,45.778,53.512,76.943,20.985,71.868,25.563,65.779,33.302,65.831,32.352,64.326,34.187,77.404,20.365,29.839,68.704,48.89,49.478,77.456,21.979,69.912,11.077,52.495,26.677,61.187,21.938,56.56,17.557,58.752,16.373,64.899,11.981,35.447,64.041,32.722,65.987,55.257,23.707
State,16,Idaho,1276601,67.83,19.847,51.487,35.801,52.116,29.447,58.225,9.35,59.364,40.566,66.651,24.492,64.111,26.085,63.532,26.832,59.963,32.766,40.459,51.637,53.442,46.558,39.638,59.521,74.793,22.382,67.825,29.323,61.652,37.899,58.71,37.332,60.001,38.405,74.027,23.314,32.105,65.643,46.911,49.638,74.407,25.008,65.612,12.51,47.402,33.614,55.524,27.093,52.496,17.618,53.816,17.983,60.456,12.507,34.094,65.349,33.526,65.523,46.049,33.74
State,17,Illinois,9879102,74.494,12.486,59.288,28.479,57.601,21.902,67.758,6.097,67.909,31.919,75.089,16.299,73.625,16.464,70.121,18.665,67.086,24.686,48.029,44.406,60.702,39.298,46.525,53.247,81.205,17.277,75.815,21.904,69.701,29.609,70.286,28.908,67.152,31.741,80.622,17.772,27.733,71.417,48.706,49.638,79.481,20.685,73.183,9.71,55.25,23.39,64.037,18.484,59.759,15.558,59.631,14.519,67.739,9.964,36.896,62.738,33.097,66.05,57.892,20.655
State,18,Indiana,5093212,65.141,19.909,49.847,35.755,50.52,28.046,58.023,9.21,56.887,43.181,65.003,25.901,64.163,25.212,61.618,26.674,57.491,33.159,39.797,50.749,52.185,47.815,38.225,61.661,74.957,23.951,68.955,28.997,58.435,41.115,59.73,39.924,59.588,39.373,75.828,22.44,33.105,66.364,56.193,43.088,71.813,28.273,65.289,12.568,45.528,31.676,54.114,25.496,53.153,18.047,53.467,17.614,59.517,13.553,30.033,69.851,29.446,69.91,46.856,30.275
State,19,Iowa,2410775,67.886,17.991,54.187,32.349,56.309,26.393,61.104,8.129,60.962,38.987,70.167,22.364,70.772,21.825,66.217,24.451,60.681,31.493,39.792,51.926,53.286,46.714,38.794,60.317,76.664,21.401,69.369,27.869,62.728,36.827,63.861,34.837,64.037,34.061,76.971,20.502,31.93,66.845,48.608,49.933,74.861,24.928,69.613,11.104,48.304,29.267,58.189,23.75,50.785,18.569,53.587,17.427,62.771,12.135,33.18,66.853,30.407,68.92,48.115,25.595
State,20,Kansas,2199580,67.585,19.2,51.297,34.619,52.326,26.807,60.548,9.042,59.437,40.566,67.07,25.033,67.359,24.693,62.878,26.381,58.967,32.81,40.835,51.203,53.118,46.882,40.142,59.459,75.174,23.141,67.848,29.809,59.605,40.081,60.244,38.792,62.992,35.371,75.443,22.623,35.386,63.616,53.462,45.49,73.164,26.854,65.998,11.885,45.861,30.313,54.88,24.65,51.468,18.939,53.772,18.132,60.85,13.406,32.135,67.916,31.349,68.051,47.948,29.552
State,21,Kentucky,3439746,61.972,21.957,47.66,37.15,46.897,29.852,53.145,9.884,54.83,45.201,61.889,28.426,61.844,28.034,59.406,29.121,57.056,35.053,37.973,52.728,50.611,49.389,36.362,63.251,71.784,27.122,66.356,32.099,54.579,44.782,55.665,42.477,55.417,44.008,74.104,24.341,35.928,63.524,59.25,40.134,70.495,29.634,63.885,12.893,43.068,35.537,52.928,29.519,50.056,19.906,52.036,19.182,58.059,14.929,28.218,71.774,29.861,69.422,44.15,32.772
State,22,Louisiana,3561012,65.128,17.41,48.299,36.22,47.321,26.13,57.068,8.534,58.384,41.668,62.836,23.884,62.749,23.835,60.067,24.34,58.339,29.908,42.296,45.979,54.793,45.207,39.976,59.386,71.057,28.545,66.524,32.079,57.286,42.21,60.303,38.252,57.446,42.246,74.205,23.984,35.374,64.142,63.373,36.322,73.974,26.161,63.458,12.473,45.353,32.709,53.48,27.752,52.053,19.397,54.472,18.169,58.71,14.281,28.68,71.429,26.184,72.996,49.74,27.948
State,23,Maine,1082993,70.042,18.515,52.766,33.348,57.036,25.249,65.183,9.013,60.454,39.754,68.794,25.806,68.915,24.578,66.537,26.158,61.947,32.824,42.728,51.055,57.165,42.835,44.987,55.623,77.196,22.643,72.147,27.439,61.754,38.341,59.771,40.311,64.888,35.059,76.899,22.467,30.66,69.694,52.335,48.173,73.764,26.207,67.493,13.075,48.671,27.664,58.021,23.003,54.91,17.194,55.939,18.69,62.389,14.096,35.147,65.108,39.378,60.355,50.999,27.367
State,24,Maryland,4677166,77.943,9.274,63.802,25.162,65.801,18.908,72.404,5.046,72.394,27.563,77.672,12.791,77.149,12.473,74.362,14.638,70.854,20.326,52.349,38.7,65.752,34.248,51.857,47.766,82.126,16.155,76.35,20.932,74.308,24.983,74.44,24.008,69.519,29.634,81.792,15.966,22.69,76.508,41.756,56.399,83.455,16.354,76.206,8.895,60.763,20.985,69.609,17.41,62.231,15.535,65.006,13.691,71.57,9.934,40.124,60.02,32.781,66.279,64.202,15.573
State,25,Massachusetts,5479293,77.289,11.716,62.457,25.874,67.208,19.919,73.199,5.853,71.102,28.856,78.385,15.915,77.104,15.546,73.528,17.809,70.443,24.215,49.606,44.277,64.847,35.153,50.855,49.101,82.704,16.418,77.349,21.068,72.674,27.01,70.811,28.618,70.464,28.818,81.84,16.902,23.439,76.527,43.287,56.363,80.584,19.394,75.141,9.893,58.345,20.867,67.587,17.085,59.863,14.649,61.118,15.019,69.931,9.701,41.667,58.337,40.309,59.213,60.906,18.432
State,26,Michigan,7787388,70.269,15.442,56.246,30.809,54.799,24.517,64.45,7.633,62.469,37.589,70.586,20.261,70.606,19.816,66.25,22.155,62.706,28.521,43.948,47.408,57.502,42.498,43.643,56.298,77.913,20.524,73.711,24.521,66.77,32.934,66.346,32.739,65.669,33.049,77.857,20.153,29.016,70.011,49.713,48.758,77.131,22.508,70.421,10.619,51.524,26.368,61.114,21.175,57.5,16.851,57.573,16.026,64.186,11.91,33.64,66.28,30.966,68.185,52.968,24.553
State,27,Minnesota,4267530,71.586,15.951,56.266,30.87,61.066,24.33,65.872,7.506,64.071,35.957,73.132,20.89,73.626,20.159,69.384,22.6,62.837,29.876,43.058,50.393,56.501,43.499,43.45,56.186,78.561,19.848,71.499,26.363,66.267,33.326,65.04,34.051,66.805,31.403,78.25,20.124,29.314,69.912,48.183,50.507,76.082,23.777,71.314,9.918,51.062,26.679,60.722,21.888,52.924,17.914,56.074,17.239,65.516,11.539,36.067,64.047,34.198,65.124,51.893,25.438
State,28,Mississippi,2270925,66.732,14.343,52.069,33.901,48.588,23.875,55.495,7.486,61.39,38.492,65.243,18.801,63.343,19.633,58.356,20.999,59.739,26.179,44.193,42.936,55.41,44.591,41.7,57.321,73.776,23.83,69.33,27.626,62.929,36.096,65.52,31.579,61.235,37.749,75.261,22.446,35.44,63.037,62.106,35.107,77.266,22.252,66.801,10.989,51.081,27.094,58.542,22.539,56.581,16.409,57.247,15.141,61.818,12.498,28.487,71.551,24.928,74.001,52.076,24.714
State,29,Missouri,4723298,67.711,18.489,52.003,34.099,52.812,26.226,59.854,8.812,59.659,40.387,67.523,24.046,67.699,23.4,63.117,25.397,59.876,31.661,40.993,49.571,54.259,45.741,40.445,59.053,75.192,22.857,68.344,29.061,60.372,39.063,61.413,37.287,63.55,34.252,75.183,22.447,33.518,64.813,53.427,44.432,74.182,25.48,66.635,12.504,47.451,29.328,56.266,23.552,52.162,17.445,54.985,17.592,61.417,13.293,31.514,68.545,30.274,69.034,48.462,26.25
State,30,Montana,822265,66.605,19.206,51.552,34.907,53.497,29.207,58.976,8.289,59.943,39.901,67.901,23.581,66.138,23.627,63.98,25.62,58.833,32.852,38.648,53.596,51.875,48.125,37.176,61.78,76.444,21.736,68.217,29.265,60.461,38.937,60.254,36.421,58.245,40.751,77.132,20.857,31.117,67.151,46.593,51.948,73.71,26.352,68.016,10.695,46.073,33.991,55.049,28.621,47.978,20.215,51.732,18.359,61.418,11.161,35.67,63.785,33.372,65.832,46.064,31.552
State,31,Nebraska,1440463,66.605,19.271,51.169,35.156,51.316,27.389,58.259,8.748,59.306,40.548,66.817,24.022,66.356,24.37,62.521,25.998,58.29,32.803,39.251,52.617,51.132,48.868,37.798,61.283,75.584,22.429,67.98,29.392,59.998,39.471,61.535,37.276,62.23,36.133,75.794,22.569,33.414,65.813,52.975,45.876,73.168,26.863,65.734,11.94,45.442,30.893,53.489,24.856,50.021,18.154,52.122,17.584,60.194,12.379,31.921,68.003,29.79,69.594,46.14,29.995
State,32,Nevada,2291340,71.56,15.11,56.649,30.492,57.095,24.281,64.548,7.5,65.335,34.731,71.074,20.382,70.656,19.888,68.42,21.169,65.646,26.739,48.09,43.437,60.312,39.688,46.355,53.596,76.063,22.076,71.168,27.207,64.916,34.61,63.223,34.041,63.162,36.148,76.699,21.063,32.306,66.981,50.414,48.337,77.182,22.631,69.475,11.869,51.924,28.115,61.857,23.879,55.508,18.991,59.159,17.705,64.656,12.671,36.298,63.598,33.795,65.196,55.858,24.922
State,33,New Hampshire,1088160,71.425,15.716,57.294,30.197,59.056,23.86,65.805,7.668,64.179,35.807,71.967,20.368,72.424,20.278,67.495,22.774,63.373,29.587,42.892,50.061,56.877,43.123,44.252,55.349,79.034,19.886,73.483,24.797,67.567,32.204,65.953,33.226,67.328,31.774,78.548,20.089,31.001,68.484,48.95,49.962,76.562,23.175,70.948,11.288,52.163,25.628,61.639,21.18,55.954,16.286,56.332,16.556,65.104,11.512,36.702,63.318,36.196,63.354,52.393,24.442
State,34,New Jersey,6916980,76.833,11.077,62.826,26.936,64.579,20.591,71.814,5.62,71.812,28.166,77.996,14.372,77.062,14.37,75.168,16.173,70.567,22.341,50.455,41.934,62.854,37.146,48.947,50.927,79.628,18.422,77.819,20.156,73.767,25.842,73.009,25.8,68.734,29.646,80.817,16.852,26.652,72.3,44.243,55.011,82.256,17.492,76.203,9.116,59.327,21.352,68.86,17.481,62.201,15.323,62.947,14.525,70.421,9.478,36.961,63.052,31.803,67.319,60.515,16.932
State,35,New Mexico,1603978,71.614,14.62,57.75,28.739,58.681,23.594,64.874,7.287,67.03,33.044,71.326,20.009,70.998,19.238,69.548,20.329,65.661,25.988,49.99,42.616,60.45,39.55,46.973,53.261,75.627,23.039,70.481,27.881,64.813,34.918,63.296,34.584,63.158,36.547,77.473,21.002,31.367,68.567,47.539,51.317,76.514,23.765,69.562,11.985,51.675,27.828,60.56,24.256,55.022,20.826,58.789,18.064,65.445,12.889,38.521,61.683,34.106,65.044,57.829,24.768
State,36,New York,15463820,78.508,10.341,61.922,27.259,64.604,19.683,73.599,5.145,73.351,26.53,78.418,13.575,76.818,13.926,73.888,15.997,70.921,21.449,52.558,40.512,65.7,34.3,51.091,48.936,81.595,16.529,78.186,19.237,73.138,25.854,73.401,25.424,68.729,29.922,81.57,16.623,24.38,73.853,47.198,51.72,83.663,16.005,75.177,9.126,59.31,20.102,67.884,15.986,62.525,15.003,64.255,13.989,70.408,9.059,39.915,59.816,35.205,63.861,62.598,17.723
State,37,North Carolina,7968260,71.359,14.273,55.394,31.213,55.772,23.863,62.618,7.28,64.03,35.951,69.899,19.109,68.267,19.538,66.261,21.029,63.04,26.766,45.791,44.683,58.661,41.339,44.886,54.68,77.267,20.824,71.511,26.167,66.406,33.027,66.272,32.088,63.755,35.194,77.12,21.084,32.691,66.488,52.88,46.534,78.189,21.521,68.994,12.005,52.958,27.697,60.76,22.545,57.672,18.11,59.441,15.853,64.329,12.996,34.11,65.876,30.254,68.968,54.761,23.307
State,38,North Dakota,580975,59.541,25.833,43.759,40.768,45.641,32.111,52.106,10.706,52.004,47.882,60.649,32.466,60.7,31.392,54.23,32.83,51.758,39.823,33.908,58.349,44.988,55.013,31.602,67.657,72.467,26.861,63.158,35.127,48.602,50.871,53.346,46.229,54.011,45.166,74.548,24.482,38.294,61.266,63.66,36.586,66.963,33.763,61.075,12.189,36.952,38.143,44.953,31.324,43.173,21.084,46.636,20.366,55.307,13.848,29.504,70.409,28.903,70.809,39.213,35.425
State,39,Ohio,9050387,68.098,17.46,52.851,33.536,55.069,26.192,61.462,8.391,59.755,40.359,68.13,22.827,67.746,22.529,64.378,24.232,60.33,30.692,41.786,49.522,54.768,45.232,41.048,58.842,76.435,22.106,70.898,27.024,60.649,38.788,63.13,36.164,62.961,36.213,76.4,22.328,34.472,65.214,56.233,43.287,74.646,25.213,68.79,11.171,49.18,28.739,59.415,22.976,56.318,16.364,56.499,16.647,62.755,12.47,31.732,68.205,30.102,69.12,49.96,27.766
State,40,Oklahoma,2975904,64.441,21.356,49.296,36.658,46.867,29.678,53.531,9.915,56.918,43.182,63.035,27.416,62.154,27.624,59.932,28.046,57.159,33.806,39.976,50.78,51.43,48.57,38.091,61.106,70.854,28.088,65.665,32.754,56.953,42.831,57.682,40.582,56.945,41.877,73.094,24.234,38.317,59.841,58.024,41.194,71.039,28.891,63.628,12.769,44.097,36.942,53.888,30.047,51.479,18.655,53.874,19.286,58.807,14.438,29.688,70.214,28.195,70.985,45.458,30.962
State,41,Oregon,3261859,74.081,15.275,57.178,29.929,62.542,23.939,67.206,7.52,65.825,34.285,74.205,21.07,73.145,20.125,72.665,21.646,66.034,28.548,47.114,46.905,62.155,37.845,48.927,51.118,77.578,20.975,72.159,26.398,66.466,33.402,63.633,34.866,64.665,34.325,77.734,20.827,26.122,73.247,38.643,59.944,77.37,22.458,70.909,11.911,53.098,28.173,62.871,24.035,52.843,21.747,58.689,18.901,66.607,12.727,41.364,58.556,41.823,57.282,56.154,24.848
State,42,Pennsylvania,10129140,70.161,15.371,55.94,31.372,57.58,24.502,63.875,7.237,63.957,36.035,70.792,20.05,70.159,20.293,67.292,22.145,63.382,28.41,43.855,47.854,57.205,42.795,42.574,57.439,75.931,22.715,72.901,24.856,64.947,34.543,66.425,32.481,63.416,35.818,78.026,20.136,29.769,69.211,51.919,46.823,76.789,23.191,70.332,10.378,51.473,26.489,60.227,22.267,56.171,18.185,57.957,16.932,64.551,11.643,32.994,66.981,30.389,68.89,52.723,24.728
State,44,Rhode Island,849888,72.502,14.447,57.987,28.982,60.728,22.005,68.375,7.248,65.966,34.134,73.028,19.934,73.606,18.901,69.69,21.074,65.636,27.517,46.71,46.031,60.028,39.972,47.461,52.773,78.715,20.786,73.945,24.911,67.298,32.332,66.052,33.803,67.739,31.891,78.978,19.955,28.69,71.499,49.761,50.566,77.167,22.813,70.776,11.568,53.099,23.905,62.29,20.279,56.842,17.126,57.965,16.859,65.967,12.225,36.663,63.599,36.551,63.034,56.433,21.589
State,45,South Carolina,3918302,69.521,15.223,52.468,33.517,52.581,24.713,59.725,7.88,61.93,38.113,67.392,20.475,66.747,20.522,64.638,21.926,60.922,27.72,44.514,45.204,56.841,43.159,43.344,56.14,75.722,22.213,69.35,27.892,63.504,35.806,64.249,33.803,62.044,36.895,75.682,22.183,33.005,65.448,52.54,45.8,76.752,22.719,67.416,11.681,50.981,28.678,59.066,23.164,57.795,16.717,59.037,15.974,62.577,13.265,31.578,68.374,28.652,70.565,52.227,25.256
State,46,South Dakota,656527,67.902,18.905,52.455,34.573,51.84,27.373,58.646,8.724,60,39.817,68.577,22.784,67.206,24.041,62.118,25.725,59.259,31.974,39.491,51.848,52.351,47.649,38.587,60.169,76.216,20.89,68.489,28.047,63.225,36.303,63.213,34.807,63.977,33.389,75.088,22.136,35.05,62.98,54.422,42.322,74.72,24.686,67.113,12.091,48.081,30.139,57.202,23.278,52.557,16.299,54.137,16.647,61.16,12.001,31.769,67.915,29.639,69.549,46.103,28.854
State,47,Tennessee,5204434,65.858,17.991,51.054,34.721,49.904,26.888,55.535,8.906,58.773,41.193,64.89,23.399,63.879,23.639,61.022,24.998,59.219,30.61,41.808,47.973,55.139,44.861,40.8,58.65,73.435,24.382,68.129,29.39,59.851,39.412,60.534,37.037,60.235,39.001,74.393,23.259,36.194,62.274,57.226,40.473,74.003,25.735,65.013,12.99,48.295,31.038,56.836,25.399,55.312,17.584,56.69,16.993,60.281,14.375,29.251,70.726,29.511,69.511,48.293,29.898
State,48,Texas,20922413,71.999,14.828,55.831,31.309,54.257,23.67,62.21,7.718,65.468,34.598,69.927,20.255,69.908,20.108,67.534,21.069,64.404,26.315,49.018,42.147,60.025,39.975,46.959,52.849,73.868,24.991,69.508,28.729,63.93,35.768,63.974,34.922,63.586,35.642,75.22,23.608,30.568,69.018,54.447,44.753,76.935,23.108,67.89,13.095,50.857,29.403,59.201,24.24,57.832,17.838,59.922,17.419,63.842,13.992,32.703,67.377,31.083,67.984,56.108,24.973
State,49,Utah,2173266,67.875,19.692,51.176,35.57,53.505,29.24,58.975,8.973,59.961,39.967,66.979,24.907,64.935,25.786,63.225,26.771,59.322,33.194,40.524,52.12,53.618,46.382,39.303,60.04,75.612,22.409,67.719,30.005,60.421,39.199,58.352,38.32,58.381,41.319,75.851,21.968,33.39,65.457,49.911,48.34,73.799,26.161,66.989,11.655,45.469,34.096,54.281,28.212,50.247,19.418,53.045,18.575,61.685,12.027,35.446,64.057,34.883,64.341,46.871,33.374
State,50,Vermont,507659,74.188,13.66,59.471,28.005,63.004,21.641,70.722,6.716,67.208,32.845,75.235,18.578,75.517,17.879,71.206,20.622,66.655,27.52,45.956,48.129,60.747,39.253,48.399,51.826,81.079,18.419,75.713,23.079,70.034,29.769,67.991,31.785,69.808,29.998,80.597,18.536,27.486,72.645,46.372,54.075,78.172,21.791,73.092,10.645,55.023,22.843,64.142,19.47,56.447,17.04,57.567,16.698,67.585,11.355,39.09,61.134,40.406,59.189,56.96,20.907
State,51,Virginia,6588765,74.246,12.45,59.283,28.4,61.107,22.291,67.307,6.421,67.593,32.358,74.211,16.661,72.833,16.804,70.144,18.803,66.264,24.766,47.914,43.327,61.864,38.136,47.561,51.969,79.736,18.335,73.235,24.045,69.422,30.258,69.151,29.21,66.238,32.818,79.112,19.035,29.309,69.922,47.376,51.455,79.619,20.038,72.52,10.905,55.565,25.612,64.29,20.781,59.23,16.942,61.196,15.063,67.152,11.572,37.521,62.469,32.524,66.66,57.473,21.873
State,53,Washington,5760561,75.379,13.464,60.097,27.528,63.94,22.698,69.414,6.575,68.291,31.663,76.802,17.942,76.331,17.724,73.382,19.777,68.805,26.114,48.125,46.025,62.891,37.109,49.26,50.248,78.954,19.203,72.999,24.818,69.846,29.866,67.705,30.449,66.089,32.895,79.092,18.896,25.041,74.415,38.619,60.195,79.324,20.474,73.122,10.576,55.372,26.439,64.007,22.53,53.417,20.656,59.364,17.497,67.79,11.189,42.802,56.981,39.734,59.247,57.626,22.232
State,54,West Virginia,1447865,56.918,26.761,42.603,41.302,42.746,33.935,49.264,10.943,49.865,50.147,57.159,33.657,57.075,31.908,55.053,32.908,50.727,39.745,32.924,57.296,45.077,54.923,29.604,69.659,70.574,29.156,62.749,35.767,47.461,51.894,52.194,46.572,48.189,52.256,73.518,25.46,35.599,63.85,58.184,42.569,66.354,34.257,60.156,12.697,36.856,42.469,45.488,34.861,44.187,21.52,47.203,20.647,54.381,15.207,27.716,72.136,26.612,73.135,38.669,35
State,55,Wisconsin,4509814,69.452,16.7,55.104,32.118,56.383,25.729,63.334,7.983,61.549,38.525,69.982,21.638,70.049,21.218,67.151,23.259,62.011,30.114,42.428,50.084,55.557,44.444,42.199,57.733,77.934,20.632,72.36,25.732,64.875,34.861,64.462,34.944,64.671,34.511,77.503,21.578,31.015,68.397,52.415,46.497,75.73,23.978,68.958,10.552,49.268,28.003,57.588,22.432,54.972,18.173,54.064,16.605,63.178,11.943,33.16,66.707,32.295,66.924,50.344,27.419
State,56,Wyoming,444650,58.285,25.876,43.604,41.558,43.874,34.65,49.339,10.138,52.421,47.246,59.751,30.865,57.21,30.577,53.896,31.887,51.034,39.168,32.913,58.784,43.809,56.191,28.855,69.825,72.362,26.532,62.288,35.223,48.524,50.479,52.711,44.161,48.161,52.1,74.997,24.03,37.433,60.843,59.115,39.797,67.92,32.76,61.87,10.753,36.84,42.006,44.393,35.401,41.323,21.608,45.047,20.144,55.441,11.741,31.651,67.612,29.048,70.493,38.044,38.917
